"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"12/14/1999","AQS","060011001","1","16.8","ug/m3 LC","61","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"12/17/1999","AQS","060011001","1","29","ug/m3 LC","87","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"12/20/1999","AQS","060011001","1","9","ug/m3 LC","38","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"12/23/1999","AQS","060011001","1","24.4","ug/m3 LC","77","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"12/26/1999","AQS","060011001","1","45.2","ug/m3 LC","125","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"12/29/1999","AQS","060011001","1","28.8","ug/m3 LC","86","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"01/06/1999","AQS","060070002","1","28","ug/m3 LC","84","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"01/13/1999","AQS","060070002","1","52","ug/m3 LC","142","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"01/18/1999","AQS","060070002","1","4","ug/m3 LC","17","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"01/24/1999","AQS","060070002","1","5","ug/m3 LC","21","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"01/30/1999","AQS","060070002","1","47","ug/m3 LC","129","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"02/05/1999","AQS","060070002","1","21","ug/m3 LC","70","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"02/11/1999","AQS","060070002","1","22","ug/m3 LC","72","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"02/17/1999","AQS","060070002","1","25","ug/m3 LC","78","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"02/23/1999","AQS","060070002","1","6","ug/m3 LC","25","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"03/01/1999","AQS","060070002","1","8","ug/m3 LC","33","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"03/07/1999","AQS","060070002","1","10","ug/m3 LC","42","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"03/13/1999","AQS","060070002","1","15","ug/m3 LC","57","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"03/19/1999","AQS","060070002","1","20","ug/m3 LC","68","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"03/25/1999","AQS","060070002","1","4","ug/m3 LC","17","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"03/31/1999","AQS","060070002","1","4","ug/m3 LC","17","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"04/06/1999","AQS","060070002","1","5","ug/m3 LC","21","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"04/12/1999","AQS","060070002","1","5","ug/m3 LC","21","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"04/18/1999","AQS","060070002","1","12","ug/m3 LC","50","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"04/24/1999","AQS","060070002","1","7","ug/m3 LC","29","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"04/30/1999","AQS","060070002","1","6","ug/m3 LC","25","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"05/06/1999","AQS","060070002","1","7","ug/m3 LC","29","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"05/12/1999","AQS","060070002","1","4","ug/m3 LC","17","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"05/18/1999","AQS","060070002","1","5","ug/m3 LC","21","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
